"Country_iso","Year","Temperature"
"SRB",1901,9.88083333333333
"SSD",1901,27.3433333333333
"STP",1901,23.5666666666667
"SUR",1901,26.6416666666667
"SVK",1901,7.37416666666667
"SVN",1901,7.715
"SWE",1901,2.23333333333333
"SWZ",1901,19.3858333333333
"SYC",1901,25.7541666666667
"SYR",1901,17.8941666666667
"TCA",1901,25.225
"TCD",1901,26.9141666666667
"TGO",1901,26.7816666666667
"THA",1901,26.6025
"TJK",1901,2.79166666666667
"TKL",1901,27.7583333333333
"TKM",1901,15.8908333333333
"TLS",1901,24.655
"TON",1901,24.1833333333333
"TTO",1901,25.9266666666667
"TUN",1901,19.0133333333333
"TUR",1901,11.2575
"TUV",1901,27.9866666666667
"TZA",1901,22.1933333333333
"UGA",1901,22.59
"UKR",1901,8.5675
"URY",1901,17.3591666666667
"USA",1901,8.50583333333333
"UZB",1901,12.6933333333333
"VCT",1901,25.4
"VEN",1901,25.0391666666667
"VGB",1901,25.6833333333333
"VIR",1901,26.1333333333333
"VNM",1901,24.2816666666667
"VUT",1901,24.4
"WLF",1901,26.55
"WSM",1901,26.4441666666667
"YEM",1901,25.095
"ZAF",1901,16.9091666666667
"ZMB",1901,21.5366666666667
"ZWE",1901,21.0191666666667
"ABW",1902,27.7833333333333
"AFG",1902,12.8766666666667
"AGO",1902,21.3683333333333
"AIA",1902,26.3583333333333
"ALB",1902,11.255
"AND",1902,6.46416666666667
"ARE",1902,27.2275
"ARG",1902,14.8783333333333
"ARM",1902,6.72583333333333
"ASM",1902,26.2
"ATG",1902,25.8666666666667
"AUS",1902,21.5641666666667
"AUT",1902,5.3025
"AZE",1902,12.2558333333333
"BDI",1902,20.2916666666667
"BEL",1902,8.4775
"BEN",1902,27.4708333333333
"BFA",1902,28.4233333333333
"BGD",1902,25.0733333333333
"BGR",1902,9.7475
"BHR",1902,26.4258333333333
"BHS",1902,24.0333333333333
"BIH",1902,8.47833333333333
"BLR",1902,4.64
"BLZ",1902,25.1308333333333
"BMU",1902,21.3083333333333
"BOL",1902,21.1316666666667
"BRA",1902,25.0475
"BRB",1902,25.7491666666667
"BRN",1902,26.5783333333333
"BTN",1902,9.60166666666667
"BWA",1902,21.1375
"CAF",1902,25
"CAN",1902,-5.50416666666667
"CCK",1902,26.4333333333333
"CHE",1902,4.6675
"CHL",1902,9.36
"CHN",1902,6.68416666666667
"CIV",1902,26.5116666666667
"CMR",1902,24.4
"COD",1902,24.0691666666667
"COG",1902,24.3283333333333
"COK",1902,23.9583333333333
"COL",1902,24.3941666666667
"COM",1902,23.0316666666667
"CPV",1902,22.7866666666667
"CRI",1902,24.2791666666667
"CUB",1902,24.7491666666667
"CXR",1902,24.95
"CYM",1902,26.9083333333333
"CYP",1902,17.4375
"CZE",1902,6.18
"DEU",1902,7.32166666666667
"DJI",1902,28.0133333333333
"DMA",1902,25.6675
"DNK",1902,6.4025
"DOM",1902,23.3441666666667
"DZA",1902,22.8066666666667
"ECU",1902,21.1066666666667
"EGY",1902,21.7316666666667
"ERI",1902,25.9141666666667
"ESH",1902,23.3391666666667
"ESP",1902,12.385
"EST",1902,2.94
"ETH",1902,22.8775
"FIN",1902,-1.17333333333333
"FJI",1902,24.3541666666667
"FLK",1902,6.23916666666667
"FRA",1902,9.76416666666667
"FRO",1902,4.80666666666667
"FSM",1902,26.5333333333333
"GAB",1902,24.7083333333333
"GBR",1902,7.86833333333333
"GEO",1902,7.80833333333333
"GHA",1902,27.12
"GIB",1902,16.85
"GIN",1902,25.8408333333333
"GLP",1902,24.8133333333333
"GMB",1902,28.05
"GNB",1902,27.7625
"GNQ",1902,24.21
"GRC",1902,13.1075
"GRD",1902,25.45
"GRL",1902,-20.0491666666667
"GTM",1902,23.075
"GUF",1902,26.4825
"GUM",1902,27.4616666666667
"GUY",1902,25.96
"HND",1902,24.1433333333333
"HRV",1902,9.79666666666667
"HTI",1902,23.8275
"HUN",1902,9.26916666666667
"IDN",1902,25.3683333333333
"IND",1902,24.52
"IOT",1902,27.4333333333333
"IRL",1902,8.82916666666667
"IRN",1902,17.2933333333333
"IRQ",1902,21.8183333333333
"ISL",1902,0.168333333333333
"ISR",1902,18.28
"ITA",1902,11.7683333333333
"JAM",1902,24.8116666666667
"JOR",1902,17.7566666666667
"JPN",1902,9.95833333333333
"KAZ",1902,5.71416666666667
"KEN",1902,24.5516666666667
"KGZ",1902,1.50166666666667
"KHM",1902,26.8566666666667
"KIR",1902,27.495
"KNA",1902,26.1083333333333
"KOR",1902,10.8883333333333
"KWT",1902,25.085
"LAO",1902,23.5916666666667
"LBN",1902,13.7158333333333
"LBR",1902,25.5891666666667
"LBY",1902,21.8741666666667
"LCA",1902,26.015
"LIE",1902,5.72416666666667
"LKA",1902,26.4358333333333
"LSO",1902,10.6375
"LTU",1902,4.5
"LUX",1902,7.885
"LVA",1902,3.89833333333333
"MAC",1902,22.3083333333333
"MAR",1902,17.0983333333333
"MCO",1902,11.7416666666667
"MDA",1902,8.83333333333333
"MDG",1902,23.0666666666667
"MDV",1902,27.625
"MEX",1902,20.5533333333333
"MHL",1902,27.4
"MKD",1902,9.48083333333333
"MLI",1902,28.4591666666667
"MLT",1902,18.3775
"MMR",1902,23.2258333333333
"MNE",1902,8.195
"MNG",1902,-0.54
"MNP",1902,27.3083333333333
"MOZ",1902,23.8833333333333
"MRT",1902,28.2908333333333
"MSR",1902,24.4083333333333
"MTQ",1902,25.35
"MUS",1902,22.6883333333333
"MWI",1902,22.1675
"MYS",1902,25.745
"MYT",1902,24.85
"NAM",1902,19.7616666666667
"NCL",1902,21.9875
"NER",1902,27.3608333333333
"NFK",1902,18.6333333333333
"NGA",1902,26.8316666666667
"NIC",1902,25.3583333333333
"NIU",1902,24.1216666666667
"NLD",1902,8.25666666666667
"NOR",1902,-0.381666666666667
"NPL",1902,13.7158333333333
"NRU",1902,27.7333333333333
"NZL",1902,9.03916666666667
"OMN",1902,26.9508333333333
"PAK",1902,20.7725
"PAN",1902,25.1491666666667
"PCN",1902,NA
"PER",1902,19.2125
"PHL",1902,25.765
"PLW",1902,27.5333333333333
"PNG",1902,24.6291666666667
"POL",1902,6.25333333333333
"PRI",1902,23.5575
"PRK",1902,6.03
"PRT",1902,14.2391666666667
"PRY",1902,24.2866666666667
"PSE",1902,17.7233333333333
"PYF",1902,21.7333333333333
"QAT",1902,26.8191666666667
"REU",1902,19.5966666666667
"ROU",1902,8.23083333333333
"RUS",1902,-6.61416666666667
"RWA",1902,18.9383333333333
"SAU",1902,24.8691666666667
"SDN",1902,27.0133333333333
"SEN",1902,28.64
"SGP",1902,26.6166666666667
"SHN",1902,18
"SJM",1902,-9.24583333333333
"SLB",1902,25.6016666666667
"SLE",1902,26.7075
"SLV",1902,24.6175
"SMR",1902,11.1283333333333
"SOM",1902,26.6683333333333
"SRB",1902,9.55
"SSD",1902,27.1725
"STP",1902,23.7916666666667
"SUR",1902,26.6516666666667
"SVK",1902,6.52166666666667
"SVN",1902,7.74583333333333
"SWE",1902,0.236666666666667
"SWZ",1902,19.3775
"SYC",1902,25.6958333333333
"SYR",1902,17.4366666666667
"TCA",1902,25.2
"TCD",1902,26.9141666666667
"TGO",1902,26.8408333333333
"THA",1902,26.5075
"TJK",1902,3.11083333333333
"TKL",1902,27.7666666666667
"TKM",1902,15.9025
"TLS",1902,24.6658333333333
"TON",1902,24.1916666666667
"TTO",1902,25.6525
"TUN",1902,19.175
"TUR",1902,10.4233333333333
"TUV",1902,27.9866666666667
"TZA",1902,22.5
"UGA",1902,22.6808333333333
"UKR",1902,7.005
"URY",1902,17.4183333333333
"USA",1902,8.33
"UZB",1902,13.0133333333333
"VCT",1902,25.1583333333333
"VEN",1902,24.6941666666667
"VGB",1902,25.275
"VIR",1902,25.7083333333333
"VNM",1902,24.3458333333333
"VUT",1902,24.0216666666667
"WLF",1902,26.5583333333333
"WSM",1902,26.4441666666667
"YEM",1902,25.0925
"ZAF",1902,16.775
"ZMB",1902,21.785
"ZWE",1902,21.4125
"ABW",1903,27.8833333333333
"AFG",1903,11.7191666666667
"AGO",1903,21.3766666666667
"AIA",1903,26.4666666666667
"ALB",1903,11.6133333333333
"AND",1903,6.46
"ARE",1903,26.3983333333333
"ARG",1903,14.5208333333333
