Country_num,Country_iso,Year,Rainfall
C620,PRT,1901,71.785
C600,PRY,1901,83.1125
C275,PSE,1901,31.7375
C258,PYF,1901,230.538333333333
C634,QAT,1901,5.83666666666667
C638,REU,1901,129.256666666667
C642,ROU,1901,62.2366666666667
C643,RUS,1901,34.9966666666667
C646,RWA,1901,96.2358333333333
C682,SAU,1901,8.6225
C729,SDN,1901,18.8108333333333
C686,SEN,1901,73.9491666666667
C702,SGP,1901,174.808333333333
C654,SHN,1901,71.7
C744,SJM,1901,29.59
C090,SLB,1901,256.51
C694,SLE,1901,222.580833333333
C222,SLV,1901,142.6025
C674,SMR,1901,80.7933333333333
C706,SOM,1901,25.1391666666667
C688,SRB,1901,66.6508333333333
C728,SSD,1901,77.675
C678,STP,1901,186.055
C740,SUR,1901,201.345
C703,SVK,1901,64.6816666666667
C705,SVN,1901,134.175
C752,SWE,1901,37.5333333333333
C748,SWZ,1901,109.235833333333
C690,SYC,1901,204.315833333333
C760,SYR,1901,17.9716666666667
C796,TCA,1901,61.7
C148,TCD,1901,28.68
C768,TGO,1901,107.095833333333
C764,THA,1901,132.645
C762,TJK,1901,46.1583333333333
C772,TKL,1901,227.666666666667
C795,TKM,1901,9.05833333333333
C626,TLS,1901,109.055833333333
C776,TON,1901,133.5
C780,TTO,1901,174.880833333333
C788,TUN,1901,23.5475
C792,TUR,1901,47.3475
C798,TUV,1901,264.170833333333
C834,TZA,1901,72.8375
C800,UGA,1901,83.1091666666667
C804,UKR,1901,43.9483333333333
C858,URY,1901,76.8566666666667
C840,USA,1901,54.2208333333333
C860,UZB,1901,15.8791666666667
C670,VCT,1901,200.633333333333
C862,VEN,1901,160.584166666667
C092,VGB,1901,140.691666666667
C850,VIR,1901,124.883333333333
C704,VNM,1901,134.6325
C548,VUT,1901,248.528333333333
C876,WLF,1901,266.666666666667
C882,WSM,1901,218.9425
C887,YEM,1901,16.8075
C710,ZAF,1901,46.4358333333333
C894,ZMB,1901,85.46
C716,ZWE,1901,72.9158333333333
C533,ABW,1902,35.075
C004,AFG,1902,22.48
C024,AGO,1902,86.6458333333333
C660,AIA,1902,91.3916666666667
C008,ALB,1902,104.2125
C020,AND,1902,90.4183333333333
C784,ARE,1902,4.61166666666667
C032,ARG,1902,43.3483333333333
C051,ARM,1902,43.4133333333333
C016,ASM,1902,182.5
C028,ATG,1902,90.4
C036,AUS,1902,26.5775
C040,AUT,1902,88.4616666666667
C031,AZE,1902,40.9033333333333
C108,BDI,1902,90.0975
C056,BEL,1902,62.2891666666667
C204,BEN,1902,80.3575
C854,BFA,1902,69.1841666666667
C050,BGD,1902,191.3675
C100,BGR,1902,50.3683333333333
C048,BHR,1902,2.94083333333333
C044,BHS,1902,90.1583333333333
C070,BIH,1902,99.8583333333333
C112,BLR,1902,55.8975
C084,BLZ,1902,167.7525
C060,BMU,1902,122.341666666667
C068,BOL,1902,93.3991666666667
C076,BRA,1902,146.875833333333
C052,BRB,1902,127.770833333333
C096,BRN,1902,259.390833333333
C064,BTN,1902,154.7925
C072,BWA,1902,31.8575
C140,CAF,1902,114.184166666667
C124,CAN,1902,45.465
C166,CCK,1902,173.416666666667
C756,CHE,1902,100.505833333333
C152,CHL,1902,82.6408333333333
C156,CHN,1902,45.2866666666667
C384,CIV,1902,109.626666666667
C120,CMR,1902,145.898333333333
C180,COD,1902,128.859166666667
C178,COG,1902,135.971666666667
C184,COK,1902,158.066666666667
C170,COL,1902,201.988333333333
C174,COM,1902,196.773333333333
C132,CPV,1902,23.7525
C188,CRI,1902,217.758333333333
C192,CUB,1902,106.8325
C162,CXR,1902,214.65
C136,CYM,1902,121.566666666667
C196,CYP,1902,43.0908333333333
C203,CZE,1902,53.7225
C276,DEU,1902,55.8466666666667
C262,DJI,1902,4.6025
C212,DMA,1902,189.0925
C208,DNK,1902,47.59
C214,DOM,1902,129.274166666667
C012,DZA,1902,8.1825
C218,ECU,1902,163.298333333333
C818,EGY,1902,2.02833333333333
C232,ERI,1902,14.2083333333333
C732,ESH,1902,3.80083333333333
C724,ESP,1902,57.9283333333333
C233,EST,1902,56.7925
C231,ETH,1902,63.925
C246,FIN,1902,48.3991666666667
C242,FJI,1902,176.625
C238,FLK,1902,43.665
C250,FRA,1902,64.0941666666667
C234,FRO,1902,134.108333333333
C583,FSM,1902,379.325
C266,GAB,1902,148.63
C826,GBR,1902,75.2125
C268,GEO,1902,92.3716666666667
C288,GHA,1902,98.4066666666667
C292,GIB,1902,73.4833333333333
C324,GIN,1902,147.216666666667
C312,GLP,1902,165.735833333333
C270,GMB,1902,72.7083333333333
C624,GNB,1902,119.078333333333
C226,GNQ,1902,227.26
C300,GRC,1902,53.4575
C308,GRD,1902,141.158333333333
C304,GRL,1902,36.2891666666667
C320,GTM,1902,179.4125
C254,GUF,1902,256.915
C316,GUM,1902,201.095
C328,GUY,1902,209.0025
C340,HND,1902,156.221666666667
C191,HRV,1902,94.6775
C332,HTI,1902,125.970833333333
C348,HUN,1902,56.1275
C360,IDN,1902,213.006666666667
C356,IND,1902,87.1975
C086,IOT,1902,202.583333333333
C372,IRL,1902,84.6925
C364,IRN,1902,20.98
C368,IRQ,1902,17.4333333333333
C352,ISL,1902,72.0425
C376,ISR,1902,27.585
C380,ITA,1902,69.82
C388,JAM,1902,131.5475
C400,JOR,1902,11.1516666666667
C392,JPN,1902,145.740833333333
C398,KAZ,1902,22.9975
C404,KEN,1902,61.6416666666667
C417,KGZ,1902,52.9591666666667
C116,KHM,1902,149.4575
C296,KIR,1902,88
C659,KNA,1902,91.6166666666667
C410,KOR,1902,99.8616666666667
C414,KWT,1902,10.5583333333333
C418,LAO,1902,149.72
C422,LBN,1902,67.1283333333333
C430,LBR,1902,202.530833333333
C434,LBY,1902,3.62416666666667
C662,LCA,1902,179.275833333333
C438,LIE,1902,79.83
C144,LKA,1902,183.891666666667
C426,LSO,1902,69.2666666666667
C440,LTU,1902,55.1225
C442,LUX,1902,68.075
C428,LVA,1902,56.6341666666667
C446,MAC,1902,156.208333333333
C504,MAR,1902,32.2216666666667
C492,MCO,1902,66.5416666666667
C498,MDA,1902,34.9683333333333
C450,MDG,1902,115.288333333333
C462,MDV,1902,197.083333333333
C484,MEX,1902,56.4491666666667
C584,MHL,1902,247.5
C807,MKD,1902,57.5191666666667
C466,MLI,1902,25.4391666666667
C470,MLT,1902,43.0833333333333
C104,MMR,1902,174.425833333333
C499,MNE,1902,120.623333333333
C496,MNG,1902,18.5266666666667
C580,MNP,1902,167.7
C508,MOZ,1902,79.23
C478,MRT,1902,8.48083333333333
C500,MSR,1902,143.508333333333
C474,MTQ,1902,199.936666666667
C480,MUS,1902,199.465
C454,MWI,1902,99.025
C458,MYS,1902,265.4475
C175,MYT,1902,113.266666666667
C516,NAM,1902,22.38
C540,NCL,1902,105.945833333333
C562,NER,1902,14.0716666666667
C574,NFK,1902,95.35
C566,NGA,1902,95.8958333333333
C558,NIC,1902,177.859166666667
C570,NIU,1902,182.059166666667
C528,NLD,1902,54.4275
C578,NOR,1902,73.2783333333333
C524,NPL,1902,114.9425
C520,NRU,1902,198.5
C554,NZL,1902,120.179166666667
C512,OMN,1902,3.9275
C586,PAK,1902,16.4808333333333
C591,PAN,1902,200.319166666667
C612,PCN,1902,
C604,PER,1902,135.054166666667
C608,PHL,1902,208.4075
C585,PLW,1902,305.133333333333
C598,PNG,1902,250.974166666667
C616,POL,1902,50.2358333333333
C630,PRI,1902,180.1
C408,PRK,1902,77.7825
C620,PRT,1902,81.8875
C600,PRY,1902,93.3666666666667
C275,PSE,1902,46.8266666666667
C258,PYF,1902,109.146666666667
C634,QAT,1902,2.005
C638,REU,1902,129.256666666667
C642,ROU,1902,53.8366666666667
C643,RUS,1902,36.9225
C646,RWA,1902,94.7116666666667
C682,SAU,1902,8.46416666666667
C729,SDN,1902,20.5075
C686,SEN,1902,52.4508333333333
C702,SGP,1902,194.7
C654,SHN,1902,65.6916666666667
C744,SJM,1902,29.59
C090,SLB,1902,256.51
C694,SLE,1902,222.580833333333
C222,SLV,1902,142.6025
C674,SMR,1902,67.7125
C706,SOM,1902,24.9983333333333
C688,SRB,1902,65.3691666666667
C728,SSD,1902,87.5641666666667
C678,STP,1902,191.4075
C740,SUR,1902,231.6175
C703,SVK,1902,71.2108333333333
C705,SVN,1902,117.85
C752,SWE,1902,44.3
C748,SWZ,1902,42.925
C690,SYC,1902,170.516666666667
C760,SYR,1902,29.055
C796,TCA,1902,61.7
C148,TCD,1902,28.68
C768,TGO,1902,94.9516666666667
C764,THA,1902,125.175
C762,TJK,1902,65.2483333333333
C772,TKL,1902,227.666666666667
C795,TKM,1902,12.4875
C626,TLS,1902,91.4
C776,TON,1902,133.5
C780,TTO,1902,175.020833333333
C788,TUN,1902,22.0033333333333
C792,TUR,1902,49.7058333333333
C798,TUV,1902,264.170833333333
C834,TZA,1902,74.1066666666667
C800,UGA,1902,105.475
C804,UKR,1902,43.8783333333333
C858,URY,1902,83.7366666666667
C840,USA,1902,59.42
C860,UZB,1902,19.0341666666667
C670,VCT,1902,222.966666666667
C862,VEN,1902,160.463333333333
C092,VGB,1902,119.625
C850,VIR,1902,105.975
C704,VNM,1902,134.868333333333
C548,VUT,1902,248.528333333333
C876,WLF,1902,266.666666666667
C882,WSM,1902,187.288333333333
C887,YEM,1902,14.7325
C710,ZAF,1902,36.6283333333333
C894,ZMB,1902,86.1183333333334
C716,ZWE,1902,56.8775
C533,ABW,1903,35.075
C004,AFG,1903,27.6266666666667
C024,AGO,1903,88.4875
C660,AIA,1903,85.7416666666667
C008,ALB,1903,90.6158333333333
C020,AND,1903,79.8375
C784,ARE,1903,4.67833333333333
C032,ARG,1903,47.0741666666667
C051,ARM,1903,42.2333333333333
C016,ASM,1903,261.7
C028,ATG,1903,88.0166666666667
C036,AUS,1903,43.6283333333333
C040,AUT,1903,100.110833333333
C031,AZE,1903,36.3716666666667
C108,BDI,1903,106.654166666667
C056,BEL,1903,75.0133333333333
C204,BEN,1903,79.3475
C854,BFA,1903,66.1241666666667
C050,BGD,1903,187.965
C100,BGR,1903,46.0383333333333
C048,BHR,1903,4.81333333333333
C044,BHS,1903,96.635
C070,BIH,1903,87.2608333333333
C112,BLR,1903,61.7141666666667
C084,BLZ,1903,166.598333333333
C060,BMU,1903,113.05
C068,BOL,1903,101.1025
C076,BRA,1903,144.380833333333
C052,BRB,1903,121.858333333333
C096,BRN,1903,251.395
C064,BTN,1903,168.999166666667
C072,BWA,1903,30.2658333333333
C140,CAF,1903,114.184166666667
C124,CAN,1903,44.7025
C166,CCK,1903,173.416666666667
C756,CHE,1903,97.1733333333333
C152,CHL,1903,66.5466666666667
C156,CHN,1903,51.3466666666667
C384,CIV,1903,109.49
C120,CMR,1903,141.388333333333
C180,COD,1903,129.278333333333
C178,COG,1903,140.2475
C184,COK,1903,144.208333333333
C170,COL,1903,213.680833333333
C174,COM,1903,197.521666666667
C132,CPV,1903,17.08
C188,CRI,1903,282.395
C192,CUB,1903,111.246666666667
C162,CXR,1903,216.183333333333
C136,CYM,1903,121.566666666667
C196,CYP,1903,34.0341666666667
C203,CZE,1903,63.9375
C276,DEU,1903,59.5283333333333
C262,DJI,1903,20.3575
C212,DMA,1903,176.4275
C208,DNK,1903,62.6025
C214,DOM,1903,127.628333333333
C012,DZA,1903,6.55416666666667
C218,ECU,1903,153.2025
C818,EGY,1903,1.7175
C232,ERI,1903,22.3791666666667
C732,ESH,1903,4.18083333333333
C724,ESP,1903,48.9683333333333
C233,EST,1903,58.4866666666667
C231,ETH,1903,78.5233333333333
C246,FIN,1903,49.6925
C242,FJI,1903,147.155
C238,FLK,1903,43.665
C250,FRA,1903,66.8608333333333
C234,FRO,1903,158.6775
C583,FSM,1903,379.325
C266,GAB,1903,158.1625
C826,GBR,1903,113.026666666667
C268,GEO,1903,87.6216666666667
C288,GHA,1903,87.6033333333333
C292,GIB,1903,49.0916666666667
C324,GIN,1903,155.8475
C312,GLP,1903,157.94
C270,GMB,1903,84.0633333333333
C624,GNB,1903,133.305833333333
C226,GNQ,1903,216.384166666667
C300,GRC,1903,54.5183333333333
C308,GRD,1903,137.216666666667
C304,GRL,1903,32.6383333333333
C320,GTM,1903,178.990833333333
C254,GUF,1903,233.396666666667
C316,GUM,1903,201.095
C328,GUY,1903,216.756666666667
C340,HND,1903,156.221666666667
C191,HRV,1903,94.1925
C332,HTI,1903,127.1025
C348,HUN,1903,54.9933333333333
C360,IDN,1903,232.236666666667
C356,IND,1903,98.2941666666667
C086,IOT,1903,202.583333333333
C372,IRL,1903,114.013333333333
C364,IRN,1903,18.4958333333333
C368,IRQ,1903,17.1608333333333
C352,ISL,1903,77.6133333333333
C376,ISR,1903,19.4433333333333
C380,ITA,1903,69.9441666666667
C388,JAM,1903,143.663333333333
C400,JOR,1903,8.30583333333333
C392,JPN,1903,152.711666666667
C398,KAZ,1903,22.4358333333333
C404,KEN,1903,55.4691666666667
C417,KGZ,1903,40.5425
C116,KHM,1903,150.8075
C296,KIR,1903,88
C659,KNA,1903,89.3083333333333
C410,KOR,1903,120.388333333333
C414,KWT,1903,8.515
C418,LAO,1903,150.214166666667
C422,LBN,1903,51.6925
C430,LBR,1903,210.794166666667
C434,LBY,1903,2.87833333333333
C662,LCA,1903,166.981666666667
C438,LIE,1903,78.9025
C144,LKA,1903,138.9875
C426,LSO,1903,49.9141666666667
C440,LTU,1903,63.5791666666667
C442,LUX,1903,81.0441666666667
C428,LVA,1903,61.2483333333333
C446,MAC,1903,170.583333333333
C504,MAR,1903,25.2725
C492,MCO,1903,74.2916666666667
C498,MDA,1903,31.9041666666667
C450,MDG,1903,127.149166666667
C462,MDV,1903,197.083333333333
C484,MEX,1903,59.64
C584,MHL,1903,247.5
C807,MKD,1903,52.0908333333333
C466,MLI,1903,27.7725
C470,MLT,1903,29.795
C104,MMR,1903,164.271666666667
C499,MNE,1903,100.516666666667
C496,MNG,1903,17.9108333333333
C580,MNP,1903,167.7
C508,MOZ,1903,72.9125
C478,MRT,1903,9.21833333333333
C500,MSR,1903,137.816666666667
C474,MTQ,1903,186.586666666667
C480,MUS,1903,199.465
C454,MWI,1903,87.2691666666667
C458,MYS,1903,218.338333333333
C175,MYT,1903,123.583333333333
C516,NAM,1903,19.0233333333333
C540,NCL,1903,92.45
C562,NER,1903,14.05
C574,NFK,1903,143.541666666667
C566,NGA,1903,101.845833333333
C558,NIC,1903,205.2
C570,NIU,1903,182.059166666667
C528,NLD,1903,70.6541666666667
C578,NOR,1903,86.065
C524,NPL,1903,90.4725
C520,NRU,1903,198.5
C554,NZL,1903,129.473333333333
C512,OMN,1903,4.78083333333333
C586,PAK,1903,22.9475
C591,PAN,1903,208.1425
C612,PCN,1903,
C604,PER,1903,134.669166666667
C608,PHL,1903,195.004166666667
C585,PLW,1903,304.716666666667
C598,PNG,1903,243.235
C616,POL,1903,54.5033333333333
C630,PRI,1903,163.6225
C408,PRK,1903,93.9791666666667
C620,PRT,1903,71.4516666666667
C600,PRY,1903,99.8808333333333
C275,PSE,1903,34.025
C258,PYF,1903,182.006666666667
C634,QAT,1903,4.92916666666667
C638,REU,1903,129.256666666667
C642,ROU,1903,45.4416666666667
C643,RUS,1903,37.0625
C646,RWA,1903,108.294166666667
C682,SAU,1903,8.56416666666667
C729,SDN,1903,18.1933333333333
C686,SEN,1903,61.7916666666667
C702,SGP,1903,210.508333333333
C654,SHN,1903,73.7666666666667
C744,SJM,1903,29.59
C090,SLB,1903,256.51
C694,SLE,1903,233.563333333333
C222,SLV,1903,142.6025
