FCL code,FCL label,HS code,If partial,Irrigated_Crops,Match,,,HS6
633,"Beverages, Non-Alcoholic",220290,*,Rubber,#N/A,400110,,HS400110
633,"Beverages, Non-Alcoholic",220210,*,"Fruits (citrus, bananas, mangoes, etc.)",#N/A,,,HS
1435,Binapacryl (Trade),291636,*,Palm (African),#N/A,,,HS
1175,Blood Meal,230110,*,Maize one,#N/A,,,HS
552,Blueberries,81040,*,Maize two,#N/A,,,HS
47,Bran of Barley,230240,*,Rice three,#N/A,,,HS
91,Bran of Buckwheat,230240,*,Potatoes and sweet potatoes,#N/A,,,HS
112,Bran of Cereals nes,230240,*,Millet,100820,220300,,HS220300
96,Bran of Fonio,230240,*,Fibre crops,#N/A,530500,,HS530500
59,Bran of Maize,230210,*,Strawberry,#N/A,,,HS
81,Bran of Millet,230240,*,Maize and other cereals,#N/A,,,HS
105,Bran of Mixed Grain,230240,*,Sunflowers,#N/A,,,HS
77,Bran of Oats,230240,*,Other roots and tubers,#N/A,,,HS
213,Bran of Pulses,230250,*,Oil crops (sunflower & sesame),#N/A,,,HS
35,Bran of Rice,230240,*,Pineapple,#N/A,200941,,HS200941
73,Bran of Rye,230240,*,Wheat and other cereals,#N/A,,,HS
85,Bran of Sorghum,230240,*,Permanent meadows and pasture,#N/A,,,HS
99,Bran of Triticale,230240,*,Olive,#N/A,151000,,HS151000
17,Bran of Wheat,230230,*,Cereals 1,#N/A,,,HS
216,Brazil nuts,80121,*,Cereals 2,#N/A,,,HS
229,"Brazil Nuts, Shelled",80122,*,Other roots,#N/A,,,HS
20,Bread,190590,*,Temporary crops,#N/A,,,HS
20,Bread,190510,*,Coconut,#N/A,80119,,HS080119
20,Bread,190540,*,Melon,#N/A,80719,,HS080719
41,Breakfast Cereals,190410,*,Permanent meadows and pastures,#N/A,,,HS
41,Breakfast Cereals,190420,*,Olive trees,#N/A,,,HS
41,Breakfast Cereals,190490,*,Barley and wheat,#N/A,,,HS
181,"Broad beans, dry",71350,*,Hop,#N/A,121010,,HS121010
420,"Broad Beans, Green",70890,*,"Fruits (citrus, bananas)",#N/A,,,HS
89,Buckwheat,100810,*,Winter wheat,#N/A,,,HS
957,"Buffalo hides, fresh",410120,*,Spring wheat,#N/A,,,HS
957,"Buffalo hides, fresh",410150,*,Fruit,#N/A,120799,,HS120799
957,"Buffalo hides, fresh",410190,*,Vegetables 2,#N/A,,,HS
947,Buffalo meat,20230,*,Vegetables 1,#N/A,,,HS
947,Buffalo meat,20220,*,Fodder permanent and meadows,#N/A,,,HS
947,Buffalo meat,20210,*,Roots & Tubers,#N/A,,,HS
