Country_num,Country_iso,Year,Temperature
C616,POL,1901,7.65333333333333
C630,PRI,1901,23.9583333333333
C408,PRK,1901,5.83333333333333
C620,PRT,1901,14.1075
C600,PRY,1901,24.14
C275,PSE,1901,18.2083333333333
C258,PYF,1901,21.5416666666667
C634,QAT,1901,27.4441666666667
C638,REU,1901,19.4675
C642,ROU,1901,9.095
C643,RUS,1901,-5.23416666666667
C646,RWA,1901,18.8033333333333
C682,SAU,1901,25.1483333333333
C729,SDN,1901,27.7283333333333
C686,SEN,1901,28.28
C702,SGP,1901,26.675
C654,SHN,1901,18.0083333333333
C744,SJM,1901,-8.97916666666667
C090,SLB,1901,25.6016666666667
C694,SLE,1901,26.6866666666667
C222,SLV,1901,24.5675
C674,SMR,1901,10.7525
C706,SOM,1901,26.6175
C688,SRB,1901,9.88083333333333
C728,SSD,1901,27.3433333333333
C678,STP,1901,23.5666666666667
C740,SUR,1901,26.6416666666667
C703,SVK,1901,7.37416666666667
C705,SVN,1901,7.715
C752,SWE,1901,2.23333333333333
C748,SWZ,1901,19.3858333333333
C690,SYC,1901,25.7541666666667
C760,SYR,1901,17.8941666666667
C796,TCA,1901,25.225
C148,TCD,1901,26.9141666666667
C768,TGO,1901,26.7816666666667
C764,THA,1901,26.6025
C762,TJK,1901,2.79166666666667
C772,TKL,1901,27.7583333333333
C795,TKM,1901,15.8908333333333
C626,TLS,1901,24.655
C776,TON,1901,24.1833333333333
C780,TTO,1901,25.9266666666667
C788,TUN,1901,19.0133333333333
C792,TUR,1901,11.2575
C798,TUV,1901,27.9866666666667
C834,TZA,1901,22.1933333333333
C800,UGA,1901,22.59
C804,UKR,1901,8.5675
C858,URY,1901,17.3591666666667
C840,USA,1901,8.50583333333333
C860,UZB,1901,12.6933333333333
C670,VCT,1901,25.4
C862,VEN,1901,25.0391666666667
C092,VGB,1901,25.6833333333333
C850,VIR,1901,26.1333333333333
C704,VNM,1901,24.2816666666667
C548,VUT,1901,24.4
C876,WLF,1901,26.55
C882,WSM,1901,26.4441666666667
C887,YEM,1901,25.095
C710,ZAF,1901,16.9091666666667
C894,ZMB,1901,21.5366666666667
C716,ZWE,1901,21.0191666666667
C533,ABW,1902,27.7833333333333
C004,AFG,1902,12.8766666666667
C024,AGO,1902,21.3683333333333
C660,AIA,1902,26.3583333333333
C008,ALB,1902,11.255
C020,AND,1902,6.46416666666667
C784,ARE,1902,27.2275
C032,ARG,1902,14.8783333333333
C051,ARM,1902,6.72583333333333
C016,ASM,1902,26.2
C028,ATG,1902,25.8666666666667
