iso_o,iso_o_num,iso_d,iso_d_num,contig,dist,distcap
MNG,C496,BMU,C060,0,11068.96,11068.96
RWA,C646,BMU,C060,0,10589.69,10589.69
MHL,C584,BMU,C060,0,12658.42,12658.42
FIN,C246,BMU,C060,0,6933.864,6933.864
AZE,C031,BMU,C060,0,9524.493,9524.493
FJI,C242,BMU,C060,0,13566.18,13566.18
NOR,C578,BMU,C060,0,6163.987,6163.987
USA,C840,BMU,C060,0,1248.121,1322.397
BLR,C112,BMU,C060,0,7312.697,7312.697
LBN,C422,BMU,C060,0,8912.783,8912.783
YUG,,BMU,C060,0,7211.622,7211.622
ZMB,C894,BMU,C060,0,11210.52,11210.52
YEM,C887,BMU,C060,0,10808.8,10808.8
SWZ,C748,BMU,C060,0,12062.78,12062.78
NZL,C554,BMU,C060,0,14780.62,14780.62
DOM,C214,BMU,C060,0,1614.941,1614.941
ARE,C784,BMU,C060,0,11004.36,11004.36
SEN,C686,BMU,C060,0,5168.87,5168.87
NLD,C528,BMU,C060,0,5895.736,5895.736
SAU,C682,BMU,C060,0,10396.75,10396.75
DJI,C262,BMU,C060,0,10962.47,10962.47
GNB,C624,BMU,C060,0,5496.824,5496.824
MYS,C458,BMU,C060,0,15840.46,15840.46
MDA,C498,BMU,C060,0,7707.618,7707.618
GNQ,C226,BMU,C060,0,8253.034,8253.034
LUX,C442,BMU,C060,0,6026.278,6026.278
BEL,C056,BMU,C060,0,5879.001,5879.001
MAC,C446,BMU,C060,0,13957.75,13957.75
COL,C170,BMU,C060,0,3259.694,3259.694
MWI,C454,BMU,C060,0,11640.55,11640.55
EGY,C818,BMU,C060,0,8794.859,8794.859
CHN,C156,BMU,C060,0,11995.19,11995.19
TGO,C768,BMU,C060,0,7412.169,7412.169
GMB,C270,BMU,C060,0,5310.126,5310.126
BGD,C050,BMU,C060,0,13265.16,13265.16
AIA,C660,BMU,C060,0,1577.063,1577.063
SDN,C729,BMU,C060,0,9766.201,9766.201
KNA,C659,BMU,C060,0,1684.423,1684.423
NGA,C566,BMU,C060,0,7592.886,7780.768
NFK,C574,BMU,C060,0,15020.48,15020.48
JOR,C400,BMU,C060,0,9061.946,9061.946
VNM,C704,BMU,C060,0,14017.09,14017.09
CHE,C756,BMU,C060,0,6175.986,6175.986
ARM,C051,BMU,C060,0,9176.896,9176.896
TKM,C795,BMU,C060,0,10247.77,10247.77
VUT,C548,BMU,C060,0,14497.83,14497.83
NCL,C540,BMU,C060,0,14891.38,14891.38
NRU,C520,BMU,C060,0,13568.84,13568.84
HTI,C332,BMU,C060,0,1706.064,1706.064
SLB,C090,BMU,C060,0,14785.43,14785.43
MSR,C500,BMU,C060,0,1755.672,1755.672
PAL,,BMU,C060,0,8967.972,8967.972
LAO,C418,BMU,C060,0,14279.3,14279.3
MOZ,C508,BMU,C060,0,12172.49,12172.49
BFA,C854,BMU,C060,0,6771.017,6771.017
VCT,C670,BMU,C060,0,2156.663,2156.663
CRI,C188,BMU,C060,0,3176.587,3176.587
HND,C340,BMU,C060,0,3049.285,3049.285
GIB,C292,BMU,C060,0,5402.56,5402.56
BDI,C108,BMU,C060,0,10604.15,10604.15
GTM,C320,BMU,C060,0,3264.164,3264.164
BTN,C064,BMU,C060,0,12849.92,12849.92
AND,C020,BMU,C060,0,5821.214,5821.214
KWT,C414,BMU,C060,0,10168.59,10168.59
CCK,C166,BMU,C060,0,17140.79,17140.79
AUS,C036,BMU,C060,0,16692.54,16893.04
JPN,C392,BMU,C060,0,12047.48,12047.48
CHL,C152,BMU,C060,0,7349.273,7349.273
REU,C638,BMU,C060,0,14028.73,14028.73
SMR,C674,BMU,C060,0,6642.948,6642.948
WLF,C876,BMU,C060,0,12802.6,12802.6
PRT,C620,BMU,C060,0,5016.401,5016.401
KHM,C116,BMU,C060,0,15028.5,15028.5
MUS,C480,BMU,C060,0,14186.11,14186.11
VGB,C092,BMU,C060,0,1541.603,1541.603
HKG,C344,BMU,C060,0,13959.6,13959.6
RUS,C643,BMU,C060,0,7813.284,7813.284
SYR,C760,BMU,C060,0,8998.485,8998.485
TUR,C792,BMU,C060,0,8012.986,8361.496
TZA,C834,BMU,C060,0,11748.3,11373.66
BRB,C052,BMU,C060,0,2201.293,2201.293
CYM,C136,BMU,C060,0,2197.937,2197.937
MDV,C462,BMU,C060,0,14043.43,14043.43
IND,C356,BMU,C060,0,12154.21,12154.21
GBR,C826,BMU,C060,0,5558.09,5558.09
TUV,C798,BMU,C060,0,12961.03,12961.03
PRI,C630,BMU,C060,0,1548.347,1548.347
HRV,C191,BMU,C060,0,6841.428,6841.428
GIN,C324,BMU,C060,0,5634.953,5634.953
GHA,C288,BMU,C060,0,7300.52,7300.52
KGZ,C417,BMU,C060,0,10696.65,10696.65
MTQ,C474,BMU,C060,0,2005.765,2005.765
ITA,C380,BMU,C060,0,6714.033,6714.033
NER,C562,BMU,C060,0,7056.905,7056.905
COM,C174,BMU,C060,0,12398.04,12398.04
LBY,C434,BMU,C060,0,7127.318,7127.318
PRK,C408,BMU,C060,0,12023.14,12023.14
SPM,C666,BMU,C060,0,1759.997,1759.997
CUB,C192,BMU,C060,0,2010.214,2010.214
DZA,C012,BMU,C060,0,6102.879,6102.879
TMP,,BMU,C060,0,17183.72,17183.72
URY,C858,BMU,C060,0,7535.383,7535.383
GUY,C328,BMU,C060,0,2923.867,2923.867
MLT,C470,BMU,C060,0,7111.136,7111.136
BHS,C044,BMU,C060,0,1461.976,1461.976
MMR,C104,BMU,C060,0,14206.39,14206.39
ROM,,BMU,C060,0,7638.945,7638.945
CYP,C196,BMU,C060,0,8669.941,8669.941
SUR,C740,BMU,C060,0,3105.333,3105.333
SLV,C222,BMU,C060,0,3230.278,3230.278
ZAF,C710,BMU,C060,0,11405.71,11774.23
FLK,C238,BMU,C060,0,9373.81,9373.81
THA,C764,BMU,C060,0,14676.34,14676.34
FRA,C250,BMU,C060,0,5764.324,5764.324
SLE,C694,BMU,C060,0,5919.711,5919.711
GLP,C312,BMU,C060,0,1840.429,1840.429
BGR,C100,BMU,C060,0,7512.205,7512.205
UZB,C860,BMU,C060,0,10585.47,10585.47
AFG,C004,BMU,C060,0,11177.66,11177.66
SVN,C705,BMU,C060,0,6724.255,6724.255
NIU,C570,BMU,C060,0,12520.01,12520.01
PLW,C585,BMU,C060,0,15171.38,15171.38
FSM,C583,BMU,C060,0,13721.77,13721.77
TCD,C148,BMU,C060,0,8345.087,8345.087
OMN,C512,BMU,C060,0,11383.33,11383.33
IRQ,C368,BMU,C060,0,9627.717,9627.717
LKA,C144,BMU,C060,0,14283.09,14283.09
TTO,C780,BMU,C060,0,2434.927,2434.927
CAF,C140,BMU,C060,0,9137.536,9137.536
PHL,C608,BMU,C060,0,14776.02,14776.02
CAN,C124,BMU,C060,0,1792.637,1736.009
SOM,C706,BMU,C060,0,11773.81,11773.81
NPL,C524,BMU,C060,0,12644.61,12644.61
PER,C604,BMU,C060,0,5110.925,5110.925
NIC,C558,BMU,C060,0,3142.941,3142.941
BMU,C060,BMU,C060,0,2.738241,2.738241
VEN,C862,BMU,C060,0,2426.953,2426.953
KAZ,C398,BMU,C060,0,10767.07,9804.581
ANT,C530,BMU,C060,0,2287.614,2287.614
MRT,C478,BMU,C060,0,5115.271,5115.271
MDG,C450,BMU,C060,0,13182.72,13182.72
MAR,C504,BMU,C060,0,5328.201,5328.201
UKR,C804,BMU,C060,0,7654.312,7654.312
GEO,C268,BMU,C060,0,9096.984,9096.984
COG,C178,BMU,C060,0,9336.812,9336.812
POL,C616,BMU,C060,0,6965.845,6965.845
TON,C776,BMU,C060,0,13122.81,13122.81
MNP,C580,BMU,C060,0,13825.5,13825.5
PAK,C586,BMU,C060,0,11470.84,11470.84
KOR,C410,BMU,C060,0,12169.14,12169.14
PYF,C258,BMU,C060,0,10575.39,10575.39
BEN,C204,BMU,C060,0,7507.109,7526.035
BRN,C096,BMU,C060,0,15889.74,15889.74
SHN,C654,BMU,C060,0,8267.58,8267.58
TWN,C158,BMU,C060,0,13611.83,13611.83
MEX,C484,BMU,C060,0,3707.852,3707.852
LCA,C662,BMU,C060,0,2071.573,2071.573
GAB,C266,BMU,C060,0,8514.151,8514.151
SYC,C690,BMU,C060,0,13121.28,13121.28
ISR,C376,BMU,C060,0,8961.196,8961.196
GRL,C304,BMU,C060,0,3662.044,3662.044
AUT,C040,BMU,C060,0,6788.318,6788.318
DMA,C212,BMU,C060,0,1923.442,1923.442
BHR,C048,BMU,C060,0,10590.29,10590.29
CPV,C132,BMU,C060,0,4597.61,4597.61
TCA,C796,BMU,C060,0,1359.016,1359.016
LBR,C430,BMU,C060,0,6285.241,6285.241
EST,C233,BMU,C060,0,6944.348,6944.348
MKD,C807,BMU,C060,0,7403.459,7403.459
STP,C678,BMU,C060,0,8274.594,8274.594
TKL,C772,BMU,C060,0,12164.66,12164.66
LVA,C428,BMU,C060,0,6992.147,6992.147
ESH,C732,BMU,C060,0,4974.023,4974.023
AGO,C024,BMU,C060,0,9436.543,9436.543
NAM,C516,BMU,C060,0,10624.18,10624.18
GUF,C254,BMU,C060,0,3310.789,3310.789
MLI,C466,BMU,C060,0,6160.57,6160.57
WSM,C882,BMU,C060,0,13961.98,13961.98
LSO,C426,BMU,C060,0,11899.88,11899.88
BWA,C072,BMU,C060,0,11518.6,11518.6
JAM,C388,BMU,C060,0,1998.322,1998.322
BOL,C068,BMU,C060,0,5443.245,5719.087
IRN,C364,BMU,C060,0,9965.788,9965.788
PCN,C612,BMU,C060,0,9418.191,9418.191
TJK,C762,BMU,C060,0,10797.8,10797.8
LTU,C440,BMU,C060,0,7146.902,7146.902
ECU,C218,BMU,C060,0,3896.823,3896.823
CIV,C384,BMU,C060,0,6966.452,6757.418
COK,C184,BMU,C060,0,11703.87,11703.87
LKA,C144,BOL,C068,0,16396.65,16026.55
SGP,C702,BOL,C068,0,18127.54,17723.5
NZL,C554,BOL,C068,0,10744.57,10717.67
QAT,C634,BOL,C068,0,13736.9,13538.79
GUF,C254,BOL,C068,0,2954.204,3024.708
ARE,C784,BOL,C068,0,14022.32,13816.21
KEN,C404,BOL,C068,0,11573.9,11238.94
RWA,C646,BOL,C068,0,10833.16,10505.17
HTI,C332,BOL,C068,0,3927.636,4259.427
GRC,C300,BOL,C068,0,11300.38,11223.42
CYM,C136,BOL,C068,0,4238.853,4620.884
COL,C170,BOL,C068,0,2471.658,2850.386
DNK,C208,BOL,C068,0,10961.65,11026.4
IDN,C360,BOL,C068,0,17453.36,17093.4
DOM,C214,BOL,C068,0,3899.494,4212.186
BLZ,C084,BOL,C068,0,4382.062,4791.532
PNG,C598,BOL,C068,0,15189.61,15266.36
BHR,C048,BOL,C068,0,13653.46,13463.27
COM,C174,BOL,C068,0,11864.56,11482.57
BGR,C100,BOL,C068,0,11369.6,11326.97
ESP,C724,BOL,C068,0,9181.015,9179.228
TUN,C788,BOL,C068,0,10117.26,10056.35
BRA,C076,BOL,C068,1,2380.92,1876.689
USA,C840,BOL,C068,0,6400.357,6565.147
RUS,C643,BOL,C068,0,12518.5,12567.85
SWE,C752,BOL,C068,0,11381.21,11465.82
SUR,C740,BOL,C068,0,2867.824,2986.166
MWI,C454,BOL,C068,0,10813.84,10435.63
DJI,C262,BOL,C068,0,12631.02,12351.36
ZAR,,BOL,C068,0,9185.028,8867.703
NLD,C528,BOL,C068,0,10363.28,10417.91
LBN,C422,BOL,C068,0,12272.51,12151.78
AZE,C031,BOL,C068,0,13560.18,13486.07
NGA,C566,BOL,C068,0,8284.738,8539.434
ATG,C028,BOL,C068,0,3807.266,4048.142
TON,C776,BOL,C068,0,11041.44,11192.14
BIH,C070,BOL,C068,0,11014.66,10987.41
PER,C604,BOL,C068,1,1075.675,1483.718
ETH,C231,BOL,C068,0,12104.31,11816.87
LSO,C426,BOL,C068,0,9654.796,9244.797
ZWE,C716,BOL,C068,0,10394.75,10007.98
JPN,C392,BOL,C068,0,16543.56,16965.66
FLK,C238,BOL,C068,0,4022.794,3687.559
TKM,C795,BOL,C068,0,14321.59,14231.36
MSR,C500,BOL,C068,0,3752.361,3996.43
ZAF,C710,BOL,C068,0,8698.602,9439.627
TZA,C834,BOL,C068,0,11640.53,10938.28
KIR,C296,BOL,C068,0,13114.93,13377.57
NIC,C558,BOL,C068,0,3756.906,4168.477
EST,C233,BOL,C068,0,11755.9,11836.36
YUG,,BOL,C068,0,11199.75,11176.52
UGA,C800,BOL,C068,0,11174.26,10852.8
BGD,C050,BOL,C068,0,17654.77,17458.75
SWZ,C748,BOL,C068,0,10099.08,9692.452
CZE,C203,BOL,C068,0,10904.1,10927.15
ITA,C380,BOL,C068,0,10488.25,10457.17
MNG,C496,BOL,C068,0,16509.63,16748.2
GBR,C826,BOL,C068,0,10008.5,10068.01
CHN,C156,BOL,C068,0,17389.85,17709.48
PRI,C630,BOL,C068,0,3895.187,4177.386
BLR,C112,BOL,C068,0,11861.14,11898.14
CCK,C166,BOL,C068,0,16408.71,16006.75
COK,C184,BOL,C068,0,9520.636,9705.327
ZMB,C894,BOL,C068,0,10194.24,9817.18
TGO,C768,BOL,C068,0,8053.351,7817.991
CAN,C124,BOL,C068,0,6791.604,7256.788
MHL,C584,BOL,C068,0,13505.01,13799.04
BRB,C052,BOL,C068,0,3426.065,3634.817
AND,C020,BOL,C068,0,9673.922,9671.341
LUX,C442,BOL,C068,0,10325.08,10358.97
SPM,C666,BOL,C068,0,7132.744,7374.653
GIN,C324,BOL,C068,0,6459.584,6296.751
SLB,C090,BOL,C068,0,13999.36,14145.03
FJI,C242,BOL,C068,0,11785.07,11937.51
BFA,C854,BOL,C068,0,7987.894,7798.475
DZA,C012,BOL,C068,0,9522.392,9478.75
LAO,C418,BOL,C068,0,19042.2,18749.64
PRY,C600,BOL,C068,1,1461.839,1039.744
BTN,C064,BOL,C068,0,17451.82,17317.3
NIU,C570,BOL,C068,0,10604.79,10782.03
KNA,C659,BOL,C068,0,3807.26,4057.019
NCL,C540,BOL,C068,0,12684.22,12768.08
VNM,C704,BOL,C068,0,19228.99,19080.63
REU,C638,BOL,C068,0,12606.9,12192.69
MAC,C446,BOL,C068,0,19366.59,19658.13
PRT,C620,BOL,C068,0,8686.375,8691.013
TMP,,BOL,C068,0,16859.37,16734.69
ARG,C032,BOL,C068,1,2239.669,1858.054
MLI,C466,BOL,C068,0,7372.72,7204.377
GIB,C292,BOL,C068,0,8821.938,8797.886
GNQ,C226,BOL,C068,0,8751.14,8486.087
ARM,C051,BOL,C068,0,13105,13028.71
VUT,C548,BOL,C068,0,12766.05,12887.32
NFK,C574,BOL,C068,0,12156.02,12201.71
PLW,C585,BOL,C068,0,17367.99,17531.67
FIN,C246,BOL,C068,0,11778.04,11863.7
PAN,C591,BOL,C068,0,3095.337,3489.87
KHM,C116,BOL,C068,0,19108.25,18689
OMN,C512,BOL,C068,0,14445.99,14230.57
THA,C764,BOL,C068,0,18778.05,18401.02
JAM,C388,BOL,C068,0,3951.059,4312.585
FRO,C234,BOL,C068,0,10243.04,10380.05
GRD,C308,BOL,C068,0,3257.316,3488.327
ABW,C533,BOL,C068,0,3240.231,3560.684
MLT,C470,BOL,C068,0,10449.94,10373.75
SOM,C706,BOL,C068,0,12588.52,12255.65
KWT,C414,BOL,C068,0,13413.1,13248.79
LBY,C434,BOL,C068,0,10216.83,10122.03
CRI,C188,BOL,C068,0,3428.308,3837.695
JOR,C400,BOL,C068,0,12286.89,12151.62
ALB,C008,BOL,C068,0,11056.12,11008.7
VCT,C670,BOL,C068,0,3392.413,3619.965
NRU,C520,BOL,C068,0,13701.26,13935.9
HKG,C344,BOL,C068,0,19347.54,19674.05
HUN,C348,BOL,C068,0,11157.74,11155.72
GMB,C270,BOL,C068,0,6573.519,6442.332
MDG,C450,BOL,C068,0,11967.6,11563.17
PAL,,BOL,C068,0,12140.58,12003.81
GNB,C624,BOL,C068,0,6584.788,6438.313
STP,C678,BOL,C068,0,8411.826,8131.218
TUR,C792,BOL,C068,0,11800.52,12040.02
LVA,C428,BOL,C068,0,11685.9,11748.37
PYF,C258,BOL,C068,0,8587.52,8812.608
BEL,C056,BOL,C068,0,10261.03,10306.71
EGY,C818,BOL,C068,0,11813.47,11669.91
HRV,C191,BOL,C068,0,10882.31,10872.6
GLP,C312,BOL,C068,0,3685.534,3923.648
ISL,C352,BOL,C068,0,9801.587,9980.313
VGB,C092,BOL,C068,0,3909.293,4177.965
FRA,C250,BOL,C068,0,10038.45,10075.46
SVK,C703,BOL,C068,0,11038.98,11044.33
SYR,C760,BOL,C068,0,12342.98,12218.78
GUY,C328,BOL,C068,0,2813.949,2980.09
PRK,C408,BOL,C068,0,17185.63,17575.55
SAU,C682,BOL,C068,0,13252.01,13053.23
CHE,C756,BOL,C068,0,10302.54,10316.05
AIA,C660,BOL,C068,0,3904.127,4158.275
WLF,C876,BOL,C068,0,11454.47,11652.18
SMR,C674,BOL,C068,0,10559.91,10543.16
BEN,C204,BOL,C068,0,8183.743,7978.571
MOZ,C508,BOL,C068,0,10249.31,9842.498
TCA,C796,BOL,C068,0,4238.04,4558.399
CAF,C140,BOL,C068,0,9813.231,9533.803
KAZ,C398,BOL,C068,0,15596.28,14838.43
SYC,C690,BOL,C068,0,13403.05,13027.34
TKL,C772,BOL,C068,0,11184.04,11417.45
ISR,C376,BOL,C068,0,12179.65,12046.54
IRL,C372,BOL,C068,0,9750.777,9835.709
CHL,C152,BOL,C068,1,1908.614,1692.385
TTO,C780,BOL,C068,0,3107.401,3332.673
SVN,C705,BOL,C068,0,10781.57,10776.09
BOL,C068,BOL,C068,0,394.2302,394.2302
IND,C356,BOL,C068,0,16246.04,16086.52
MUS,C480,BOL,C068,0,12829.35,12414.59
GHA,C288,BOL,C068,0,7863.444,7628.102
MTQ,C474,BOL,C068,0,3547.863,3776.594
PHL,C608,BOL,C068,0,19032.51,19206.02
AUT,C040,BOL,C068,0,10983.02,10989.87
CPV,C132,BOL,C068,0,6025.543,5936.1
MRT,C478,BOL,C068,0,6897.057,6795.477
BHS,C044,BOL,C068,0,4733.767,5086.896
ROM,,BOL,C068,0,11627.77,11594.79
VEN,C862,BOL,C068,0,3017.41,3307
MYS,C458,BOL,C068,0,18178.57,17760.62
MDA,C498,BOL,C068,0,11875.94,11859.92
DEU,C276,BOL,C068,0,10457.82,10954.67
IRQ,C368,BOL,C068,0,13093.28,12962.1
FSM,C583,BOL,C068,0,14876.54,15141.79
NOR,C578,BOL,C068,0,10998.81,11095.28
LCA,C662,BOL,C068,0,3487.087,3713.535
ANT,C530,BOL,C068,0,3184.275,3494.08
ECU,C218,BOL,C068,0,2136.151,2548.317
KGZ,C417,BOL,C068,0,15449.65,15441.49
GAB,C266,BOL,C068,0,8705.134,8420.673
DMA,C212,BOL,C068,0,3616.899,3850.168
SLV,C222,BOL,C068,0,4074.956,4490.029
SDN,C729,BOL,C068,0,11612.75,11372.3
GTM,C320,BOL,C068,0,4247.32,4663.383
TUV,C798,BOL,C068,0,12113.97,12329.83
SLE,C694,BOL,C068,0,6652.03,6473.217
URY,C858,BOL,C068,0,2372.214,1976.725
UKR,C804,BOL,C068,0,12033.3,12042.35
CYP,C196,BOL,C068,0,12094.34,11985.18
COG,C178,BOL,C068,0,9179.979,8863.063
MAR,C504,BOL,C068,0,8586.6,8554.059
CMR,C120,BOL,C068,0,9042.204,8772.569
LTU,C440,BOL,C068,0,11730.07,11774.75
AGO,C024,BOL,C068,0,8830.234,8495.122
BDI,C108,BOL,C068,0,10706.86,10373.68
CUB,C192,BOL,C068,0,4674.092,5053.571
HND,C340,BOL,C068,0,3997.513,4408.185
WSM,C882,BOL,C068,0,12634.18,12794.11
TCD,C148,BOL,C068,0,9685.607,9456.249
BRN,C096,BOL,C068,0,18701.84,18458.83
NAM,C516,BOL,C068,0,8849.453,8460.603
GEO,C268,BOL,C068,0,13125.96,13062.22
AFG,C004,BOL,C068,0,15349.95,15240.55
PCN,C612,BOL,C068,0,6460.858,6659.182
POL,C616,BOL,C068,0,11405.5,11435.78
MNP,C580,BOL,C068,0,16403.78,16713
BWA,C072,BOL,C068,0,9653.865,9253.688
ERI,C232,BOL,C068,0,12271.49,12020.2
SEN,C686,BOL,C068,0,6562.185,6442.554
MEX,C484,BOL,C068,0,5242.293,5662.813
MKD,C807,BOL,C068,0,11206.64,11161.61
MDV,C462,BOL,C068,0,15625.43,15254.39
UZB,C860,BOL,C068,0,15121.53,15080.82
YEM,C887,BOL,C068,0,12835.08,12576.64
GRL,C304,BOL,C068,0,9090.068,9340.626
MMR,C104,BOL,C068,0,18363.34,18050.45
LBR,C430,BOL,C068,0,6808.984,6607.042
IRN,C364,BOL,C068,0,13733.43,13619.83
BMU,C060,BOL,C068,0,5443.245,5719.087
AUS,C036,BOL,C068,0,13045.96,12976.39
ESH,C732,BOL,C068,0,7669.764,7616.477
KOR,C410,BOL,C068,0,17263.13,17663.53
SHN,C654,BOL,C068,0,6647.543,6301.421
TJK,C762,BOL,C068,0,15191.14,15123.14
NER,C562,BOL,C068,0,8415.19,8223.298
CIV,C384,BOL,C068,0,7462.484,7176.891
CXR,C162,BOL,C068,0,16963.29,16604.23
TWN,C158,BOL,C068,0,18645.23,19067.06
PAK,C586,BOL,C068,0,15724.56,15613.91
NPL,C524,BOL,C068,0,17037.84,16887.25
KEN,C404,BRA,C076,0,9292.935,9415.111
VNM,C704,BRA,C076,0,17191.68,17207.4
ARE,C784,BRA,C076,0,12129.45,11957.41
SVK,C703,BRA,C076,0,10191.96,9583.929
FRA,C250,BRA,C076,0,9408.406,8732.79
FRO,C234,BRA,C076,0,10159.41,9378.91
IDN,C360,BRA,C076,0,15644.48,16326.22
GNB,C624,BRA,C076,0,5185.861,4700.164
TUN,C788,BRA,C076,0,8979.379,8447.175
ARG,C032,BRA,C076,1,1691.067,2353.257
NZL,C554,BRA,C076,0,11389,12070.38
COL,C170,BRA,C076,1,4399.134,3756.413
ATG,C028,BRA,C076,0,4818.193,3969.111
SPM,C666,BRA,C076,0,7871.671,6999.4
SGP,C702,BRA,C076,0,16000.61,16540.27
GEO,C268,BRA,C076,0,11846.24,11399.65
LCA,C662,BRA,C076,0,4461.426,3614.805
MWI,C454,BRA,C076,0,8444.919,8732.777
SLE,C694,BRA,C076,0,5085.813,4676.264
USA,C840,BRA,C076,0,7694.307,6794.436
QAT,C634,BRA,C076,0,11880.21,11686.33
BWA,C072,BRA,C076,0,7274.823,7687.095
SWE,C752,BRA,C076,0,10936.15,10235.23
SLB,C090,BRA,C076,0,15359.06,15871.73
DEU,C276,BRA,C076,0,9847.663,9601.955
GRC,C300,BRA,C076,0,10036.02,9561.282
PYF,C258,BRA,C076,0,10498.53,10677.96
ZAR,,BRA,C076,0,6967.733,7019.619
LUX,C442,BRA,C076,0,9663.413,8998.837
HTI,C332,BRA,C076,0,5452.449,4664.838
DZA,C012,BRA,C076,0,8497.729,7922.073
BRA,C076,BRA,C076,0,1097.356,1097.356
LSO,C426,BRA,C076,0,7292.793,7772.399
PNG,C598,BRA,C076,0,16064.84,16768.98
NER,C562,BRA,C076,0,6716.604,6395.668
GUF,C254,BRA,C076,1,3227.929,2356.327
KHM,C116,BRA,C076,0,16743.93,17060.73
LAO,C418,BRA,C076,0,16782.53,16890.29
GRD,C308,BRA,C076,0,4289.566,3453.023
UGA,C800,BRA,C076,0,8932.303,9009.302
ETH,C231,BRA,C076,0,9960.68,9945.43
SUR,C740,BRA,C076,1,3402.776,2540.839
DOM,C214,BRA,C076,0,5311.118,4505.733
DNK,C208,BRA,C076,0,10431.67,9744.198
RUS,C643,BRA,C076,0,11820.15,11192.67
NIC,C558,BRA,C076,0,5862.436,5244.107
SLV,C222,BRA,C076,0,6210.195,5598.948
BHR,C048,BRA,C076,0,11828.47,11617.3
TKM,C795,BRA,C076,0,12871.23,12503.56
MAC,C446,BRA,C076,0,17999.56,17956.81
LBN,C422,BRA,C076,0,10772.67,10398.77
TZA,C834,BRA,C076,0,9299.757,9153.108
ZMB,C894,BRA,C076,0,7826.946,8113.184
CZE,C203,BRA,C076,0,10155.45,9519.683
TON,C776,BRA,C076,0,12568.05,12965.23
PRY,C600,BRA,C076,1,1134.649,1463.434
ZWE,C716,BRA,C076,0,8017.05,8348.187
COK,C184,BRA,C076,0,11245.72,11534.05
FIN,C246,BRA,C076,0,11316.05,10623.64
IND,C356,BRA,C076,0,14441.49,14251.55
GBR,C826,BRA,C076,0,9501.71,8797.828
EGY,C818,BRA,C076,0,10229.25,9886.343
CHN,C156,BRA,C076,0,17614.3,16948.04
PRI,C630,BRA,C076,0,5129.085,4300.301
BIH,C070,BRA,C076,0,10003.96,9442.659
KGZ,C417,BRA,C076,0,14281.39,13838.02
MOZ,C508,BRA,C076,0,7878.605,8326.672
TJK,C762,BRA,C076,0,13787.02,13416.81
MNP,C580,BRA,C076,0,18438.69,18567.57
OMN,C512,BRA,C076,0,12510.15,12365.4
HUN,C348,BRA,C076,0,10267.27,9672.754
BLR,C112,BRA,C076,0,11135.23,10505.83
NLD,C528,BRA,C076,0,9810.82,9121.226
AIA,C660,BRA,C076,0,4977.742,4132.483
BGD,C050,BRA,C076,0,15665.7,15591.09
BLZ,C084,BRA,C076,0,6447.859,5797.847
SMR,C674,BRA,C076,0,9623.186,9034.358
GIN,C324,BRA,C076,0,4984.344,4529.304
PRT,C620,BRA,C076,0,7955.642,7287.52
CMR,C120,BRA,C076,0,6997.694,6895.957
NIU,C570,BRA,C076,0,12267.53,12596.67
BDI,C108,BRA,C076,0,8433.928,8547.685
SWZ,C748,BRA,C076,0,7728.15,8176.895
PRK,C408,BRA,C076,0,18168.74,17377.24
ISR,C376,BRA,C076,0,10629.06,10275.35
MAR,C504,BRA,C076,0,7665.229,7046.678
VEN,C862,BRA,C076,1,4393.217,3606.018
CRI,C188,BRA,C076,0,5523.376,4908.824
REU,C638,BRA,C076,0,10255.05,10727.29
VCT,C670,BRA,C076,0,4386.27,3543.185
TGO,C768,BRA,C076,0,6170.232,5951.629
RWA,C646,BRA,C076,0,8574.155,8670.851
MLI,C466,BRA,C076,0,5824.374,5417.112
CUB,C192,BRA,C076,0,6475.084,5731.499
DMA,C212,BRA,C076,0,4610.269,3762.862
KIR,C296,BRA,C076,0,15088.22,15253.65
GNQ,C226,BRA,C076,0,6729.316,6609.445
SOM,C706,BRA,C076,0,10309.24,10427.49
MHL,C584,BRA,C076,0,15603.51,15668.82
GMB,C270,BRA,C076,0,5253.954,4736.056
AND,C020,BRA,C076,0,8853.326,8221.112
KWT,C414,BRA,C076,0,11694.86,11428.84
NOR,C578,BRA,C076,0,10641.01,9917.605
ITA,C380,BRA,C076,0,9482.516,8913.18
FSM,C583,BRA,C076,0,16795.19,17017.51
GRL,C304,BRA,C076,0,9772.524,8905.894
MSR,C500,BRA,C076,0,4787.648,3941.469
COG,C178,BRA,C076,0,6964.051,7014.479
MLT,C470,BRA,C076,0,9223.423,8725.308
IRL,C372,BRA,C076,0,9398.416,8659.942
ERI,C232,BRA,C076,0,10249.1,10144.46
YEM,C887,BRA,C076,0,10779.75,10700.02
NRU,C520,BRA,C076,0,15526.05,15797.97
TCD,C148,BRA,C076,0,7791.363,7590.976
MEX,C484,BRA,C076,0,7439.636,6841.765
YUG,,BRA,C076,0,10200.5,9638.061
TUV,C798,BRA,C076,0,13906.55,14180.94
MUS,C480,BRA,C076,0,10479.45,10953.11
TCA,C796,BRA,C076,0,5668.201,4859.09
GLP,C312,BRA,C076,0,4696.415,3849.284
AFG,C004,BRA,C076,0,13771.76,13470.08
TMP,,BRA,C076,0,16361.97,17230.33
HKG,C344,BRA,C076,0,18059.72,18014.9
ANT,C530,BRA,C076,0,4649.895,3871.581
BGR,C100,BRA,C076,0,10267.08,9738.726
PLW,C585,BRA,C076,0,18227.26,19058.27
