iso_o,iso_o_num,iso_d,iso_d_num,contig,dist,distcap
TUV,C798,ABW,C533,0,12456.92,12456.92
UKR,C804,ABW,C533,0,9678.449,9678.449
TON,C776,ABW,C533,0,12067.62,12067.62
FLK,C238,ABW,C533,0,7248.144,7248.144
WLF,C876,ABW,C533,0,12049.83,12049.83
BGD,C050,ABW,C533,0,15473.46,15473.46
REU,C638,ABW,C533,0,14183.83,14183.83
VEN,C862,ABW,C533,0,408.8065,408.8065
LVA,C428,ABW,C533,0,9100.948,9100.948
PLW,C585,ABW,C533,0,16527.85,16527.85
LBN,C422,ABW,C533,0,10635.64,10635.64
TGO,C768,ABW,C533,0,7858.3,7858.3
ZAF,C710,ABW,C533,0,10662.36,11441.71
VUT,C548,ABW,C533,0,13756.36,13756.36
BTN,C064,ABW,C533,0,15070.87,15070.87
ESH,C732,ABW,C533,0,6124.013,6124.013
IRL,C372,ABW,C533,0,7174.017,7174.017
ATG,C028,ABW,C533,0,1024.995,1024.995
MDG,C450,ABW,C533,0,13342.62,13342.62
MYS,C458,ABW,C533,0,18066.89,18066.89
JOR,C400,ABW,C533,0,10744.01,10744.01
TKL,C772,ABW,C533,0,11515.18,11515.18
FRA,C250,ABW,C533,0,7685.884,7685.884
WSM,C882,ABW,C533,0,13348.89,13348.89
AFG,C004,ABW,C533,0,13257.81,13257.81
ETH,C231,ABW,C533,0,11817.33,11817.33
MDA,C498,ABW,C533,0,9662.548,9662.548
TMP,,ABW,C533,0,18262.52,18262.52
MWI,C454,ABW,C533,0,11828.46,11828.46
AND,C020,ABW,C533,0,7572.788,7572.788
SWE,C752,ABW,C533,0,8715.387,8715.387
NLD,C528,ABW,C533,0,7896.896,7896.896
GHA,C288,ABW,C533,0,7697.944,7697.944
FJI,C242,ABW,C533,0,12692.41,12692.41
SWZ,C748,ABW,C533,0,11739.21,11739.21
FRO,C234,ABW,C533,0,7410.507,7410.507
RWA,C646,ABW,C533,0,11168.01,11168.01
URY,C858,ABW,C533,0,5483.935,5483.935
GRD,C308,ABW,C533,0,911.348,911.348
PRI,C630,ABW,C533,0,781.5696,781.5696
AZE,C031,ABW,C533,0,11503,11503
TCA,C796,ABW,C533,0,998.4774,998.4774
KGZ,C417,ABW,C533,0,12891.46,12891.46
QAT,C634,ABW,C533,0,12436.23,12436.23
SUR,C740,ABW,C533,0,1793.713,1793.713
TUR,C792,ABW,C533,0,9845.79,10197.24
DNK,C208,ABW,C533,0,8408.59,8408.59
LSO,C426,ABW,C533,0,11423.01,11423.01
MHL,C584,ABW,C533,0,12908.49,12908.49
NRU,C520,ABW,C533,0,13604.61,13604.61
MLI,C466,ABW,C533,0,6729.114,6729.114
CZE,C203,ABW,C533,0,8560.899,8560.899
NIU,C570,ABW,C533,0,11484.71,11484.71
BOL,C068,ABW,C533,0,3240.231,3560.684
GLP,C312,ABW,C533,0,980.5495,980.5495
HTI,C332,ABW,C533,0,709.3878,709.3878
ZMB,C894,ABW,C533,0,11267.38,11267.38
SDN,C729,ABW,C533,0,10960.46,10960.46
GTM,C320,ABW,C533,0,2220.068,2220.068
PHL,C608,ABW,C533,0,16773.43,16773.43
FSM,C583,ABW,C533,0,14263.71,14263.71
KNA,C659,ABW,C533,0,952.6719,952.6719
CHE,C756,ABW,C533,0,8056.332,8056.332
ALB,C008,ABW,C533,0,9091.742,9091.742
GEO,C268,ABW,C533,0,11056.94,11056.94
ERI,C232,ABW,C533,0,11620.09,11620.09
STP,C678,ABW,C533,0,8580.347,8580.347
NAM,C516,ABW,C533,0,10267.96,10267.96
COK,C184,ABW,C533,0,10484.67,10484.67
DOM,C214,ABW,C533,0,663.0993,663.0993
MEX,C484,ABW,C533,0,3197.777,3197.777
FIN,C246,ABW,C533,0,9087.563,9087.563
MRT,C478,ABW,C533,0,5824.114,5824.114
TKM,C795,ABW,C533,0,12265.52,12265.52
PAK,C586,ABW,C533,0,13581.61,13581.61
MOZ,C508,ABW,C533,0,11878.69,11878.69
DMA,C212,ABW,C533,0,989.9883,989.9883
IRN,C364,ABW,C533,0,11880.18,11880.18
BFA,C854,ABW,C533,0,7414.016,7414.016
MLT,C470,ABW,C533,0,8723.98,8723.98
BRN,C096,ABW,C533,0,18008.87,18008.87
YEM,C887,ABW,C533,0,12161.9,12161.9
ARE,C784,ABW,C533,0,12735.01,12735.01
BLR,C112,ABW,C533,0,9382.626,9382.626
GMB,C270,ABW,C533,0,5785.502,5785.502
PNG,C598,ABW,C533,0,15957.22,15957.22
VNM,C704,ABW,C533,0,16271.96,16271.96
CUB,C192,ABW,C533,0,1754.738,1754.738
PRT,C620,ABW,C533,0,6637.424,6637.424
SVK,C703,ABW,C533,0,8778.741,8778.741
TCD,C148,ABW,C533,0,9201.158,9201.158
BEN,C204,ABW,C533,0,7979.945,8006.697
MSR,C500,ABW,C533,0,966.2597,966.2597
