cnum,iso3,area,dis_int,lat,lon,landlocked
662,LCA,617,9.342786,14.01667,-60.98333,0
144,LKA,65610,96.3427,6.916667,79.86667,0
426,LSO,30355,65.53132,-29.31667,27.48333,1
440,LTU,65300,96.11483,54.68333,25.31667,0
442,LUX,2586,19.12705,49.6,6.15,1
428,LVA,64589,95.59013,56.95,24.1,0
446,MAC,25,1.880632,22.27,113.56,0
504,MAR,710850,317.1194,34.03333,-6.85,0
498,MDA,33700,69.04763,47,28.83333,0
450,MDG,587041,288.1828,-18.86667,47.5,0
462,MDV,298,6.492948,4.166667,73.46667,0
484,MEX,1967210,527.5446,19.41667,-99.16666,0
584,MHL,181,5.060263,7.15,171.2,0
807,MKD,25713,60.3129,42,21.46667,1
466,MLI,1240142,418.8606,12.66667,-7.983333,1
470,MLT,316,6.686169,35.9,14.53333,0
104,MMR,678500,309.8195,16.78333,96.16666,0
496,MNG,1565500,470.6091,47.9,106.8667,1
580,MNP,477,8.214725,15.2,145.75,0
508,MOZ,801590,336.7518,-25.96667,32.58333,0
478,MRT,1030700,381.8563,18.15,-15.96667,0
500,MSR,102,3.79869,16.7,-62.21667,0
474,MTQ,1100,12.4747,14.6,-61.08333,0
480,MUS,2045,17.00907,-20.16667,57.5,0
454,MWI,118484,129.4684,-13.96667,33.81667,1
458,MYS,329758,215.9889,3.133333,101.7,0
516,NAM,825518,341.741,-22.56667,17.1,0
540,NCL,19060,51.92724,-22.26667,166.45,0
562,NER,1267000,423.372,13.53333,2.083333,1
574,NFK,35,2.225194,-29.05,167.9667,0
566,NGA,923768,361.5058,6.45,3.466667,0
566,NGA,923768,361.5058,9.18,7.17,0
558,NIC,130670,135.9633,12.1,-86.3,0
570,NIU,260,6.064856,-19.01667,-169.9167,0
528,NLD,41863,76.95715,52.35,4.9,0
579,NOR,323752,214.0129,59.91667,10.75,0
524,NPL,147181,144.2978,27.7,85.31667,1
520,NRU,21,1.723628,-0.5333334,166.9167,0
