Country_num,ISO,Country,Irrigated_Crops,Year,Month,Area,Crop_Area
C004,AFG,Afghanistan,Pulses,2011,05,27,0
C004,AFG,Afghanistan,Rice,2011,06,208,10.97046414
C004,AFG,Afghanistan,Barley,2011,06,116,0
C004,AFG,Afghanistan,Maize,2011,06,183,9.651898734
C004,AFG,Afghanistan,Vegetables,2011,06,69,3.639240506
C004,AFG,Afghanistan,AEItot,2011,06,3208.48,3208.48
C004,AFG,Afghanistan,Wheat,2011,06,1303,0
C004,AFG,Afghanistan,Fruits,2011,06,137,7.225738397
C004,AFG,Afghanistan,Sugar beets,2011,06,2,0.105485232
C004,AFG,Afghanistan,Cotton,2011,06,33,1.740506329
C004,AFG,Afghanistan,AHIfull,2011,06,2176,0
C004,AFG,Afghanistan,Pulses,2011,06,27,1.424050633
C004,AFG,Afghanistan,Sugarcane,2011,06,2,0.105485232
C004,AFG,Afghanistan,AAIfull,2011,06,1896,39.1350211
C004,AFG,Afghanistan,Sesame,2011,06,10,0.52742616
C004,AFG,Afghanistan,Potatoes,2011,06,15,0
C004,AFG,Afghanistan,Cropping_Intensity,2011,06,114.7679325,114.7679325
C004,AFG,Afghanistan,Sunflower,2011,06,10,0.52742616
C004,AFG,Afghanistan,Actually_Irrigated,2011,06,59.09340248,59.09340248
C004,AFG,Afghanistan,Grapes,2011,06,61,3.217299578
C004,AFG,Afghanistan,AEIfull,2011,06,3208.48,3208.48
C004,AFG,Afghanistan,Fruits,2011,07,137,7.225738397
C004,AFG,Afghanistan,Barley,2011,07,116,0
C004,AFG,Afghanistan,Maize,2011,07,183,9.651898734
C004,AFG,Afghanistan,Vegetables,2011,07,69,3.639240506
C004,AFG,Afghanistan,Rice,2011,07,208,10.97046414
C004,AFG,Afghanistan,Wheat,2011,07,1303,0
C004,AFG,Afghanistan,Cotton,2011,07,33,1.740506329
C004,AFG,Afghanistan,AAIfull,2011,07,1896,39.1350211
C004,AFG,Afghanistan,Cropping_Intensity,2011,07,114.7679325,114.7679325
C004,AFG,Afghanistan,Sugarcane,2011,07,2,0.105485232
C004,AFG,Afghanistan,AHIfull,2011,07,2176,0
C004,AFG,Afghanistan,AEIfull,2011,07,3208.48,3208.48
C004,AFG,Afghanistan,AEItot,2011,07,3208.48,3208.48
C004,AFG,Afghanistan,Pulses,2011,07,27,1.424050633
C004,AFG,Afghanistan,Sugar beets,2011,07,2,0.105485232
C004,AFG,Afghanistan,Actually_Irrigated,2011,07,59.09340248,59.09340248
C004,AFG,Afghanistan,Sunflower,2011,07,10,0.52742616
C004,AFG,Afghanistan,Potatoes,2011,07,15,0
C004,AFG,Afghanistan,Grapes,2011,07,61,3.217299578
C004,AFG,Afghanistan,Sesame,2011,07,10,0.52742616
C004,AFG,Afghanistan,Wheat,2011,08,1303,0
C004,AFG,Afghanistan,Rice,2011,08,208,10.97046414
C004,AFG,Afghanistan,AEItot,2011,08,3208.48,3208.48
C004,AFG,Afghanistan,Actually_Irrigated,2011,08,59.09340248,59.09340248
C004,AFG,Afghanistan,Barley,2011,08,116,0
C004,AFG,Afghanistan,Maize,2011,08,183,9.651898734
C004,AFG,Afghanistan,Vegetables,2011,08,69,3.639240506
C004,AFG,Afghanistan,AEIfull,2011,08,3208.48,3208.48
C004,AFG,Afghanistan,Sesame,2011,08,10,0.52742616
C004,AFG,Afghanistan,Pulses,2011,08,27,1.424050633
C004,AFG,Afghanistan,Sugar beets,2011,08,2,0.105485232
C004,AFG,Afghanistan,Sunflower,2011,08,10,0.52742616
C004,AFG,Afghanistan,Potatoes,2011,08,15,0
C004,AFG,Afghanistan,Sugarcane,2011,08,2,0.105485232
C004,AFG,Afghanistan,Fruits,2011,08,137,7.225738397
C004,AFG,Afghanistan,Grapes,2011,08,61,3.217299578
C004,AFG,Afghanistan,Cotton,2011,08,33,1.740506329
C004,AFG,Afghanistan,Cropping_Intensity,2011,08,114.7679325,114.7679325
C004,AFG,Afghanistan,AAIfull,2011,08,1896,39.1350211
C004,AFG,Afghanistan,AHIfull,2011,08,2176,0
C004,AFG,Afghanistan,Maize,2011,09,183,9.651898734
C004,AFG,Afghanistan,Vegetables,2011,09,69,3.639240506
C004,AFG,Afghanistan,Wheat,2011,09,1303,0
C004,AFG,Afghanistan,Rice,2011,09,208,10.97046414
C004,AFG,Afghanistan,Barley,2011,09,116,0
C004,AFG,Afghanistan,AEItot,2011,09,3208.48,3208.48
C004,AFG,Afghanistan,Fruits,2011,09,137,7.225738397
C004,AFG,Afghanistan,Grapes,2011,09,61,3.217299578
C004,AFG,Afghanistan,AAIfull,2011,09,1896,39.1350211
C004,AFG,Afghanistan,AEIfull,2011,09,3208.48,3208.48
C004,AFG,Afghanistan,Actually_Irrigated,2011,09,59.09340248,59.09340248
C004,AFG,Afghanistan,Sunflower,2011,09,10,0.52742616
C004,AFG,Afghanistan,AHIfull,2011,09,2176,0
C004,AFG,Afghanistan,Cropping_Intensity,2011,09,114.7679325,114.7679325
C004,AFG,Afghanistan,Sugarcane,2011,09,2,0.105485232
C004,AFG,Afghanistan,Cotton,2011,09,33,1.740506329
C004,AFG,Afghanistan,Sesame,2011,09,10,0.52742616
C004,AFG,Afghanistan,Potatoes,2011,09,15,0
C004,AFG,Afghanistan,Sugar beets,2011,09,2,0.105485232
C004,AFG,Afghanistan,Pulses,2011,09,27,1.424050633
C004,AFG,Afghanistan,AEItot,2011,10,3208.48,3208.48
