Country_num,Year,Agric_Water_Withdrawal,Agric_Water_Withdrawal_Share_of_Total,Water_Dependency_Ratio,Irrigation_Water_Withdrawal,Livestock_Water_Withdrawal
C328,2019,1.363,94.344846681,11.0701107011,1.363,0
C332,2017,1.209,83.3793103448,7.2386250178,1.209,0
C332,2018,1.209,83.3793103448,7.2386250178,1.209,0
C332,2019,1.209,83.3793103448,7.2386250178,1.209,0
C340,2017,1.178,73.304293715,1.6318736166,1.153,0.025
C340,2018,1.178,73.304293715,1.6318736166,1.153,0.025
C340,2019,1.178,73.304293715,1.6318736166,1.153,0.025
C348,2017,0.495195567,11.059266578,94.2307692308,0.132937768,0.0199
C348,2018,0.504939785,10.8121081205,94.2307692308,0.121448896,0.025168011
C348,2019,0.4858497,11.1660225985,94.2307692308,0.1088797,0.0236
C352,2017,3e-04,0.107797341,0,0,0
C352,2018,3e-04,0.107797341,0,0,0
C352,2019,3e-04,0.107797341,0,0,0
C356,2017,688,90.4073587385,30.5208533538,0,0
C356,2018,688,90.4073587385,30.5208533538,0,0
C356,2019,688,90.4073587385,30.5208533538,0,0
C360,2017,189.7,85.2067285018,0,177.1,0.6392
C360,2018,189.7,85.2067285018,0,177.1,0.6392
C360,2019,189.7,85.2067285018,0,177.1,0.6392
C364,2017,86,92.1757770632,6.7725904161,0,0
C364,2018,86,92.1757770632,6.7725904161,0,0
C364,2019,86,92.1757770632,6.7725904161,0,0
C368,2017,37.82,87.8105409798,60.827954596,0,0
C368,2018,30.71,91.4804885314,60.827954596,0,0
C368,2019,44.23,78.1172730484,60.827954596,0,0
C372,2017,0.06975,5.4338780786,5.7692307692,0.001115,0
C372,2018,0.065,6.5,5.7692307692,0.001,0.031
C372,2019,0.065,4.5550105116,5.7692307692,0.001,0.031
C376,2017,1,43.3463372345,57.8651685393,0,0
C376,2018,1,44.0334654337,57.8651685393,0,0
C376,2019,1.191,51.3805004314,57.8651685393,0,0
C380,2017,17,49.725049725,4.6001045478,16,1
C380,2018,17,49.725049725,4.6001045478,16,1
C380,2019,17,49.725049725,4.6001045478,16,1
C384,2017,0.6,51.6351118761,8.6760161635,0.5953,0
C384,2018,0.6,51.6351118761,8.6760161635,0.5953,0
C384,2019,0.6,51.6351118761,8.6760161635,0.5953,0
C388,2017,0.114,8.4194977843,0,0.11,0.003
C388,2018,0.114,8.4194977843,0,0.11,0.003
C388,2019,0.114,8.4194977843,0,0.11,0.003
C392,2017,53.7,67.7175283733,0,53.3,0.4
C392,2018,53.5,67.6359039191,0,53.1,0.4
C392,2019,53.5,67.6359039191,0,53.1,0.4
C398,2017,15.12,61.8379616376,40.6420071949,12.125,0
C398,2018,15.81,63.1642029565,40.6420071949,12.3,3.49
C398,2019,15.81,63.1642029565,40.6420071949,12.3,3.49
C400,2017,0.5518,52.3728170084,27.2145144077,0.5447,0.0071
C400,2018,0.5624,52.2482348569,27.2145144077,0.5553,0.0071
C400,2019,0.57061,51.645457343,27.2145144077,0.56054,0.01007
C404,2017,3.234,80.2083333333,32.5732899023,0.459,0.255
C404,2018,3.234,80.2083333333,32.5732899023,0.459,0.255
C404,2019,3.234,80.2083333333,32.5732899023,0.459,0.255
C408,2017,6.61,76.3473399709,13.1561892417,0,0
C408,2018,6.61,76.3473399709,13.1561892417,0,0
C408,2019,6.61,76.3473399709,13.1561892417,0,0
C410,2017,15.96,58.9321320434,6.9583931133,14.49,0
C410,2018,15.96,58.9321320434,6.9583931133,14.49,0
C410,2019,15.96,58.9321320434,6.9583931133,14.49,0
C414,2017,0.7784,62.272,100,0.7768,0.1672
C414,2018,0.7784,62.272,100,0.7768,0.1672
C414,2019,0.7784,62.272,100,0.7768,0.1672
C417,2017,7.1,92.6892950392,1.1275460718,0,0
C417,2018,7.1,92.6892950392,1.1275460718,0,0
C417,2019,7.1,92.6892950392,1.1275460718,0,0
C418,2017,7.02,95.9016393443,42.9085457271,6.58,0
C418,2018,7.02,95.9016393443,42.9085457271,6.58,0
C418,2019,7.05,95.9183673469,42.9085457271,6.58,0
C422,2017,0.7,38.0434782609,0.7854485325,0,0
C422,2018,0.7,38.0434782609,0.7854485325,0,0
C422,2019,0.7,38.0434782609,0.7854485325,0,0
C426,2017,0.0038,8.6757990868,0,0.0038,0
C426,2018,0.0038,8.6757990868,0,0.0038,0
C426,2019,0.0038,8.6757990868,0,0.0038,0
C428,2017,0.054806757,31.1560897914,51.5168860904,0.000366128,0.002542614
C428,2018,0.05413,30.5498125332,51.5168860904,0.000470811,0.00317
C428,2019,0.05586,32.3151683443,51.5168860904,0.00037,0.00183
C430,2017,0.0123,8.4304318026,13.7931034483,0.0123,0
C430,2018,0.0123,8.4304318026,13.7931034483,0.0123,0
C430,2019,0.0123,8.4304318026,13.7931034483,0.0123,0
C434,2017,4.85,83.1903945111,0,0,0
C434,2018,4.85,83.1903945111,0,0,0
C434,2019,4.85,83.1903945111,0,0,0
C440,2017,0.0589,22.7413127413,36.8979591837,5e-04,0.0036
C440,2018,0.05714,22.4615747474,36.8979591837,0.00055,0.00343
C440,2019,0.05714,22.4615747474,36.8979591837,0.00055,0.00343
C442,2017,4e-04,0.8771929825,71.4285714286,2e-04,0
C442,2018,5e-04,0.9578544061,71.4285714286,1e-04,0
C442,2019,6e-04,1.2170385396,71.4285714286,1e-04,0
C450,2017,13,95.8921287315,0,13,0
C450,2018,13,95.8921287315,0,13,0
C450,2019,13,95.8921287315,0,13,0
C454,2017,1.166,85.9375,6.5972222222,1.166,0
C454,2018,1.166,85.9375,6.5972222222,1.166,0
C454,2019,1.166,85.9375,6.5972222222,1.166,0
C458,2017,2.505,45.6450437318,0,2.505,0
C458,2018,2.505,45.6450437318,0,2.505,0
C458,2019,2.505,45.6450437318,0,2.505,0
C462,2017,0,0,0,0,0
C462,2018,0,0,0,0,0
C462,2019,0,0,0,0,0
C466,2017,5.075,97.8596220594,50,5,0.075
C466,2018,5.075,97.8596220594,50,5,0.075
C466,2019,5.075,97.8596220594,50,5,0.075
C470,2017,0.028,42.4242424242,0,0.027,0.001
C470,2018,0.025,39.0625,0,0.024,0.001
C470,2019,0.023,36.5079365079,0,0.022,0.001
C478,2017,1.223,90.5791734558,96.4912280702,1.223,0
C478,2018,1.223,90.5791734558,96.4912280702,1.223,0
C478,2019,1.223,90.5791734558,96.4912280702,1.223,0
C480,2017,0.344,55.8441558442,0,0,0
C480,2018,0.304,51.0067114094,0,0,0
C480,2019,0.301,50.3344481605,0,0,0
C484,2017,66.8,76.0473588342,11.53,65.422,0.218
C484,2018,67.264,75.7204610951,11.53,65.87,0.226
C484,2019,67.646,75.7081621918,11.533137221,66.25,0.233
C492,2017,0,0,0,0,0
C492,2018,0,0,0,0,0
C492,2019,0,0,0,0,0
C496,2017,0.2509,54.2603806228,0,0.1261,0.1248
C496,2018,0.2509,54.2603806228,0,0.1261,0.1248
C496,2019,0.2509,54.2603806228,0,0.1261,0.1248
C498,2017,0.042,5,86.7970660147,0.038,0.002
C498,2018,0.043,5.13739546,86.7970660147,0.039,0.002
C498,2019,0.044,5.2380952381,86.7970660147,0.039,0.003
C499,2017,0.0017,1.0565568676,0,0,0
C499,2018,0.0017,1.0565568676,0,0,0
C499,2019,0.0017,1.0565568676,0,0,0
C504,2017,9.156,87.7768190969,0,0,0
C504,2018,9.156,87.7768190969,0,0,0
C504,2019,9.156,87.7768190969,0,0,0
C508,2017,1.076,73.0482009504,53.8000921234,1.005,0.071
C508,2018,1.076,73.0482009504,53.8000921234,1.005,0.071
C508,2019,1.076,73.0482009504,53.8000921234,1.005,0.071
C512,2017,1.547,82.6388888889,0,1.547,0
C512,2018,1.547,82.5947677523,0,1.547,0
C512,2019,1.547,82.5947677523,0,1.547,0
C516,2017,0.201,69.7916666667,84.5652718617,0.144,0.077
C516,2018,0.201,69.7916666667,84.5652718617,0.144,0.077
C516,2019,0.201,69.7916666667,84.5652718617,0.144,0.077
C520,2017,0,0,0,0,0
C520,2018,0,0,0,0,0
C520,2019,0,0,0,0,0
C524,2017,9.32,98.1352202251,5.7088487155,9.32,0
C524,2018,9.32,98.1352202251,5.7088487155,9.32,0
C524,2019,9.32,98.1352202251,5.7088487155,9.32,0
C528,2017,0.1197,1.5120891337,87.9120879121,0.0802,0.0395
C528,2018,0.3022,3.7314630743,87.9120879121,0.264616,0.037555
C528,2019,0.2534,3.0154461289,87.9120879121,0.215259,0.038152
C548,2017,0,0,0,0,0
C548,2018,0,0,0,0,0
C548,2019,0,0,0,0,0
C554,2017,3.207,66.0983318567,0,2.8,0.276
C554,2018,3.207,65.7324801433,0,2.8,0.276
C554,2019,3.207,65.587732072,0,2.8,0.276
C558,2017,1.185,76.7188916224,5.0510576222,1.11,0.075
