Country_num,Year,Agric_Water_Withdrawal,Agric_Water_Withdrawal_Share_of_Total,Water_Dependency_Ratio,Irrigation_Water_Withdrawal,Livestock_Water_Withdrawal
C728,2019,0.24,36.4741641337,65.7894736842,0,0
C729,2017,25.91,96.1945424169,96.1277831559,0,0
C729,2018,25.91,96.1945424169,96.1277831559,0,0
C729,2019,25.91,96.1945424169,96.1277831559,0,0
C740,2017,0.4311,69.9951290794,0,0.4311,0
C740,2018,0.4311,69.9951290794,0,0.4311,0
C740,2019,0.4311,69.9951290794,0,0.4311,0
C748,2017,1.006,94.1947565543,41.4634146341,0.993,0.013
C748,2018,1.006,94.1947565543,41.4634146341,0.993,0.013
C748,2019,1.006,94.1947565543,41.4634146341,0.993,0.013
C752,2017,0.075,3.1578947368,1.724137931,0.048,0.027
C752,2018,0.075,3.1578947368,1.724137931,0.048,0.027
C752,2019,0.075,3.1578947368,1.724137931,0.048,0.027
C756,2017,0.1601,9.2340523705,24.4859813084,0.1356,0
C756,2018,0.1601,9.05645435,24.4859813084,0.1356,0
C756,2019,0.1601,9.05645435,24.4859813084,0.1356,0
C760,2017,14.67,87.5277439679,72.3587318812,0,0
C760,2018,14.67,87.5277439679,72.3587318812,0,0
C760,2019,14.67,87.5277439679,72.3587318812,0,0
C762,2017,5.186,64.9223835754,17.3375016282,0,0
C762,2018,7.378,75.4859832208,17.3375016282,7.378,0
C762,2019,7.378,69.5906432749,17.3375016282,7.378,0
C764,2017,51.79,90.3744808572,48.8132965505,0,0
C764,2018,51.79,90.3744808572,48.8132965505,0,0
C764,2019,51.79,90.3744808572,48.8132965505,0,0
C768,2017,0.076,34.0807174888,21.768707483,0.046,0.03
C768,2018,0.076,34.0807174888,21.768707483,0.046,0.03
C768,2019,0.076,34.0807174888,21.768707483,0.046,0.03
C772,2017,0,0,0,0,0
C772,2018,0,0,0,0,0
C772,2019,0,0,0,0,0
C776,2017,0,0,0,0,0
C776,2018,0,0,0,0,0
C776,2019,0,0,0,0,0
C780,2017,0.0167,4.3580375783,0,0,0
C780,2018,0.0167,4.3580375783,0,0,0
C780,2019,0.0167,4.3580375783,0,0,0
C784,2017,2.445,48.52153205,0,2.421,0.024
C784,2018,2.501,48.7904799064,0,2.476,0.025
C784,2019,2.443,48.1854043393,0,2.419,0.024
C788,2017,2.691,74.4192477876,9.1007583965,2.691,0
C788,2018,2.9326,76.2764324915,9.1007583965,2.9326,0
C788,2019,2.9326,76.2764324915,9.1007583965,2.9326,0
C792,2017,50.05,87.0707351867,1.5184381779,42.21,0
C792,2018,51.735,87.1179590806,1.5184381779,43.95,0
C792,2019,54.27,87.6453488372,1.5184381779,46.57,0
C795,2017,26.36,94.2977749159,96.9956163798,26.25,0.084
C795,2018,26.36,94.2977749159,96.9956163798,26.25,0.084
C795,2019,26.36,94.2977749159,96.9956163798,26.25,0.084
C798,2017,0,0,0,0,0
C798,2018,0,0,0,0,0
C798,2019,0,0,0,0,0
C800,2017,0.259,40.6593406593,35.1081530782,0,0
C800,2018,0.259,40.6593406593,35.1081530782,0,0
C800,2019,0.259,40.6593406593,35.1081530782,0,0
C804,2017,4.655,41.5550794501,68.5645823825,4.052,0.165
C804,2018,4.655,41.5550794501,68.5645823825,4.052,0.165
C804,2019,4.38,39.573545356,68.5645823825,3.727,0.165
C807,2017,0.3292177077,39.5443743342,15.625,0.139,0
C807,2018,0.3292177077,38.2621183462,15.625,0.139,0
C807,2019,0.3292177077,38.2621183462,15.625,0.139,0
C818,2017,61.35,79.1612903226,98.2608695652,0,0
C818,2018,61.35,79.1612903226,98.2608695652,0,0
C818,2019,61.35,79.1612903226,98.2608695652,0,0
C826,2017,1.183,14.0498812352,1.3605442177,0.084,0.026
C826,2018,1.183,14.0498812352,1.3605442177,0.084,0.026
C826,2019,1.183,14.0498812352,1.3605442177,0.084,0.026
C834,2017,4.632,89.3518518519,12.7454035525,4.425,0.207
C834,2018,4.632,89.3518518519,12.7454035525,4.425,0.207
C834,2019,4.632,89.3518518519,12.7454035525,4.425,0.207
C840,2017,176.2,39.6587814265,8.1785597915,163,10.43
C840,2018,176.2,39.6587814265,8.1785597915,163,10.43
C840,2019,176.2,39.6587814265,8.1785597915,163,10.43
C854,2017,0.4207,51.4303178484,7.4074074074,0.4207,0
C854,2018,0.4207,51.4303178484,7.4074074074,0.4207,0
C854,2019,0.4207,51.4303178484,7.4074074074,0.4207,0
C858,2017,3.17,86.6120218579,46.4576074332,0,0.23
C858,2018,3.17,86.6120218579,46.4576074332,0,0.23
C858,2019,3.17,86.6120218579,46.4576074332,0,0.23
C860,2017,54.36,92.2920203735,80.0707403342,53.7,0
C860,2018,54.36,92.2920203735,80.0707403342,53.7,0
C860,2019,54.36,92.2920203735,80.0707403342,53.7,0
C862,2017,16.71,73.852110155,39.2452830189,16.71,0
C862,2018,16.71,73.852110155,39.2452830189,16.71,0
C862,2019,16.71,73.852110155,39.2452830189,16.71,0
C882,2017,0,0,0,0,0
C882,2018,0,0,0,0,0
C882,2019,0,0,0,0,0
C887,2017,3.235,90.7433380084,0,0,0
C887,2018,3.235,90.7433380084,0,0,0
C887,2019,3.235,90.7433380084,0,0,0
C894,2017,1.152,73.2824427481,23.4732824427,1.152,0
C894,2018,1.152,73.2824427481,23.4732824427,1.152,0
C894,2019,1.152,73.2824427481,23.4732824427,1.152,0
